time,Zero,DIF,DEA,macd
19801212,0.00,nan,nan,nan
19801215,0.00,nan,nan,nan
19801216,0.00,nan,nan,nan
19801217,0.00,nan,nan,nan
19801218,0.00,nan,nan,nan
19801219,0.00,nan,nan,nan
19801222,0.00,nan,nan,nan
19801223,0.00,nan,nan,nan
19801224,0.00,nan,nan,nan
19801226,0.00,nan,nan,nan
19801229,0.00,nan,nan,nan
19801230,0.00,nan,nan,nan
19801231,0.00,3.17,nan,nan
19810102,0.00,2.84,nan,nan
19810105,0.00,2.42,nan,nan
19810106,0.00,1.84,2.57,-1.45
19810107,0.00,1.22,2.03,-1.61
19810108,0.00,0.70,1.50,-1.59
19810109,0.00,0.59,1.14,-1.09
19810112,0.00,0.46,0.87,-0.81
19810113,0.00,0.20,0.60,-0.80
19810114,0.00,0.05,0.38,-0.66
19810115,0.00,0.05,0.25,-0.40
19810116,0.00,0.01,0.15,-0.29
19810119,0.00,0.25,0.19,0.12
19810120,0.00,0.25,0.21,0.07
19810121,0.00,0.33,0.26,0.13
19810122,0.00,0.41,0.32,0.18
19810123,0.00,0.43,0.36,0.13
19810126,0.00,0.35,0.36,-0.02
19810127,0.00,0.25,0.32,-0.13
19810128,0.00,0.04,0.21,-0.33
19810129,0.00,-0.25,0.02,-0.55
19810130,0.00,-0.65,-0.25,-0.81
19810202,0.00,-1.10,-0.59,-1.03
19810203,0.00,-1.19,-0.83,-0.72
19810204,0.00,-1.05,-0.92,-0.27
19810205,0.00,-0.93,-0.92,-0.01
19810206,0.00,-0.80,-0.87,0.15
19810209,0.00,-0.89,-0.88,-0.03
19810210,0.00,-0.92,-0.89,-0.04
19810211,0.00,-1.02,-0.94,-0.15
19810212,0.00,-1.07,-1.00,-0.16
19810213,0.00,-1.15,-1.06,-0.19
19810217,0.00,-1.07,-1.06,-0.01
19810218,0.00,-0.81,-0.96,0.30
19810219,0.00,-0.85,-0.92,0.13
19810220,0.00,-1.04,-0.97,-0.15
19810223,0.00,-1.06,-1.00,-0.11
19810224,0.00,-1.15,-1.06,-0.18
19810225,0.00,-0.95,-1.02,0.13
19810226,0.00,-0.73,-0.90,0.34
19810227,0.00,-0.45,-0.72,0.55
19810302,0.00,-0.23,-0.52,0.59
19810303,0.00,-0.15,-0.37,0.45
19810304,0.00,-0.12,-0.27,0.30
19810305,0.00,-0.12,-0.21,0.18
19810306,0.00,-0.15,-0.19,0.07
19810309,0.00,-0.45,-0.29,-0.31
19810310,0.00,-0.77,-0.49,-0.58
19810311,0.00,-1.07,-0.72,-0.70
19810312,0.00,-1.08,-0.86,-0.43
19810313,0.00,-1.07,-0.95,-0.25
19810316,0.00,-0.90,-0.93,0.05
19810317,0.00,-0.60,-0.80,0.39
19810318,0.00,-0.18,-0.55,0.74
19810319,0.00,0.05,-0.31,0.72
19810320,0.00,0.23,-0.09,0.64
19810323,0.00,0.47,0.13,0.67
19810324,0.00,0.58,0.31,0.54
19810325,0.00,0.55,0.41,0.29
19810326,0.00,0.44,0.42,0.04
19810327,0.00,0.23,0.34,-0.23
19810330,0.00,0.09,0.24,-0.31
19810331,0.00,-0.04,0.13,-0.33
19810401,0.00,-0.14,0.02,-0.33
