time,MA5,MA10,SIG
1980-12-13 01:00:00,nan,nan,0.000
1980-12-16 01:00:00,nan,nan,0.000
1980-12-17 01:00:00,nan,nan,0.000
1980-12-18 01:00:00,nan,nan,0.000
1980-12-19 01:00:00,26.747,nan,0.000
1980-12-20 01:00:00,26.649,nan,0.000
1980-12-23 01:00:00,27.125,nan,0.000
1980-12-24 01:00:00,28.252,nan,0.000
1980-12-25 01:00:00,29.582,nan,0.000
1980-12-27 01:00:00,31.353,29.050,0.000
1980-12-30 01:00:00,32.907,29.778,0.000
1980-12-31 01:00:00,34.006,30.566,0.000
1981-01-01 01:00:00,34.657,31.455,0.000
1981-01-03 01:00:00,35.056,32.319,0.000
1981-01-06 01:00:00,34.706,33.029,0.000
1981-01-07 01:00:00,33.950,33.428,0.000
1981-01-08 01:00:00,33.096,33.551,0.000
1981-01-09 01:00:00,32.319,33.488,0.000
1981-01-10 01:00:00,31.794,33.425,0.000
1981-01-13 01:00:00,31.374,33.040,0.000
1981-01-14 01:00:00,31.024,32.487,0.000
1981-01-15 01:00:00,30.975,32.035,0.000
1981-01-16 01:00:00,31.178,31.748,0.000
1981-01-17 01:00:00,31.003,31.399,0.000
1981-01-20 01:00:00,31.248,31.311,0.000
1981-01-21 01:00:00,31.528,31.276,1.000
1981-01-22 01:00:00,31.906,31.440,0.000
1981-01-23 01:00:00,32.228,31.703,0.000
1981-01-24 01:00:00,32.578,31.790,0.000
1981-01-27 01:00:00,32.452,31.850,0.000
1981-01-28 01:00:00,32.473,32.001,0.000
1981-01-29 01:00:00,32.172,32.039,0.000
1981-01-30 01:00:00,31.577,31.902,0.000
1981-01-31 01:00:00,30.674,31.626,0.000
1981-02-03 01:00:00,29.554,31.003,0.000
1981-02-04 01:00:00,28.679,30.576,0.000
1981-02-05 01:00:00,28.203,30.188,0.000
1981-02-06 01:00:00,27.951,29.764,0.000
1981-02-07 01:00:00,28.049,29.361,0.000
1981-02-10 01:00:00,28.175,28.864,0.000
1981-02-11 01:00:00,28.105,28.392,0.000
1981-02-12 01:00:00,27.657,27.930,0.000
1981-02-13 01:00:00,27.160,27.556,0.000
1981-02-14 01:00:00,26.516,27.282,0.000
1981-02-18 01:00:00,26.292,27.233,0.000
1981-02-19 01:00:00,26.292,27.198,0.000
1981-02-20 01:00:00,26.138,26.897,0.000
1981-02-21 01:00:00,25.760,26.460,0.000
1981-02-24 01:00:00,25.585,26.050,0.000
1981-02-25 01:00:00,25.109,25.700,0.000
1981-02-26 01:00:00,24.703,25.498,0.000
1981-02-27 01:00:00,24.703,25.421,0.000
1981-02-28 01:00:00,25.151,25.456,0.000
1981-03-03 01:00:00,25.550,25.567,0.000
1981-03-04 01:00:00,26.047,25.578,1.000
1981-03-05 01:00:00,26.201,25.452,0.000
1981-03-06 01:00:00,26.250,25.476,0.000
1981-03-07 01:00:00,26.075,25.613,0.000
1981-03-10 01:00:00,25.473,25.512,0.000
1981-03-11 01:00:00,24.724,25.386,0.000
1981-03-12 01:00:00,23.849,25.025,0.000
1981-03-13 01:00:00,23.177,24.713,0.000
1981-03-14 01:00:00,22.505,24.290,0.000
1981-03-17 01:00:00,22.407,23.940,0.000
1981-03-18 01:00:00,22.757,23.741,0.000
1981-03-19 01:00:00,23.583,23.716,0.000
1981-03-20 01:00:00,24.185,23.681,1.000
1981-03-21 01:00:00,24.885,23.695,0.000
1981-03-24 01:00:00,25.606,24.006,0.000
1981-03-25 01:00:00,26.082,24.419,0.000
1981-03-26 01:00:00,26.159,24.871,0.000
1981-03-27 01:00:00,26.180,25.182,0.000
1981-03-28 01:00:00,25.977,25.431,0.000
1981-03-31 01:00:00,25.578,25.592,0.000
1981-04-01 01:00:00,25.151,25.617,0.000
1981-04-02 01:00:00,24.773,25.466,0.000
1981-04-03 01:00:00,24.927,25.553,0.000
1981-04-04 01:00:00,25.277,25.627,0.000
1981-04-07 01:00:00,25.529,25.553,0.000
1981-04-08 01:00:00,25.781,25.466,1.000
1981-04-09 01:00:00,26.327,25.550,0.000
1981-04-10 01:00:00,26.551,25.739,0.000
1981-04-11 01:00:00,26.831,26.054,0.000
1981-04-14 01:00:00,27.209,26.369,0.000
1981-04-15 01:00:00,27.636,26.708,0.000
1981-04-16 01:00:00,27.538,26.932,0.000
1981-04-17 01:00:00,27.034,26.792,0.000
1981-04-21 01:00:00,26.607,26.719,0.000
1981-04-22 01:00:00,26.530,26.869,0.000
1981-04-23 01:00:00,26.649,27.143,0.000
1981-04-24 01:00:00,27.202,27.370,0.000
1981-04-25 01:00:00,28.007,27.521,1.000
1981-04-28 00:00:00,28.602,27.605,0.000
1981-04-29 00:00:00,28.749,27.639,0.000
1981-04-30 00:00:00,28.630,27.639,0.000
1981-05-01 00:00:00,28.455,27.828,0.000
1981-05-02 00:00:00,28.329,28.168,0.000
1981-05-05 00:00:00,28.231,28.416,0.000
1981-05-06 00:00:00,28.210,28.480,0.000
